method	superstring	mask
eulertigs	503130174	20735373
greedy-maxone	255345699	13027839
greedy-minone	255345699	20735376
greedy-minrun	255345699	11872895
kmer_count	-1	212834965
lowerbound_length	255341022	-1
lowerbound_matchtig_count	-1	20222
matchtigs	288713502	74368
method	superstring	mask
pareto-1	255952134	9503401
pareto-128	276079769	20429
pareto-16	275476210	54167
pareto-2	258652430	4999027
pareto-256	276084538	20224
pareto-32	275991369	24855
pareto-4	265872499	1663049
pareto-512	276084538	20224
pareto-64	276055431	21531
pareto-8	272186661	366808
simplitigs	503130314	20735383
unitigs	2740283638	180532049
