method	superstring	mask
eulertigs	4358286	90267
greedy-maxone	3463871	52075
greedy-minone	3463871	90284
greedy-minrun	3463871	49719
pareto-128	4667342	997
pareto-1	3464773	48292
pareto-16	3609901	25916
pareto-2	3467479	44367
pareto-256	4796759	205
pareto-32	3865839	14734
pareto-4	3477665	40373
pareto-512	4812909	152
pareto-64	4279397	5537
pareto-8	3509688	34634
kmer_count	-1	3094561
lowerbound_length	3463729	-1
lowerbound_matchtig_count	-1	150
matchtigs	3835021	30236
simplitigs	4358482	90281
unitigs	9252140	439828
