method	superstring	mask
eulertigs	23490314	142924
greedy-maxone	19260471	63931
greedy-minone	19260471	142938
greedy-minrun	19260471	63666
pareto-1	19261468	63177
pareto-128	20845178	30024
pareto-16	19316924	55819
pareto-2	19262143	62346
pareto-256	22540722	20710
pareto-32	19464187	49540
pareto-4	19264812	61319
pareto-512	25074976	13738
pareto-64	19892589	40315
pareto-8	19276131	59348
kmer_count	-1	14629087
lowerbound_length	19259588	-1
lowerbound_matchtig_count	-1	2184
matchtigs	20320066	52610
simplitigs	23491244	142939
unitigs	41627174	435454
