method	superstring	mask
eulertigs	24362449	389564
greedy-maxone	17160693	305051
greedy-minone	17160693	389570
greedy-minrun	17160693	288958
joint-1	17164963	286110
joint-128	21568122	37373
joint-16	17647237	125143
joint-2	17209715	227749
joint-256	22325508	31428
joint-32	18262439	95992
joint-4	17308542	173001
joint-512	22399923	30782
joint-64	19775805	60425
joint-8	17417595	147910
kmer_count	-1	12675558
lowerbound_length	17160604	-1
lowerbound_matchtig_count	-1	28673
matchtigs	19608865	114405
simplitigs	24362719	389573
unitigs	49244989	1218982
