method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	115984228	11327480	116654120	11894013	110256027	10117469	108733618	10089864
greedy-maxone	60208292	13516344	60259460	12533532	55026208	10113689	51872637	10091944
greedy-minrun	60208292	13235104	60259460	12210482	55026208	9936486	51872637	9861634
pareto-1	59495276	11070208	60175720	9288436	55062040	7846427	52777029	7823324
pareto-250	65109092	162960	65097256	77305	59890138	87278	58628753	107550
pareto-30	65089928	193884	65081576	95810	59884330	105898	58625956	121326
pareto-400	65109092	162960	65097256	77305	59890138	87278	58628753	107550
pareto-70	63842280	169840	65097336	81295	59890049	90014	58630481	110715
pareto-7	64315496	1790836	63780428	1031597	58784143	922419	57682400	915985
kmer_count	188704463	188704463	188704463	188704463	188704463	188704463	188704463	188704463
matchtigs	66689448	168104	66614564	174186	63271409	172162	62081033	189884
