method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	1086904	83460	1088008	80462	1022165	78960	1014070	73221
greedy-maxone	860636	101376	860696	75791	805279	68880	799450	69227
greedy-minrun	860636	98732	860696	72420	805279	66577	799450	67027
pareto-1	858952	98244	859448	71060	802891	65597	796510	65880
pareto-250	1019020	1944	1019172	902	846903	2767	796569	3646
pareto-30	905712	46232	906200	27189	816872	26068	791357	26590
pareto-400	1021272	1692	1022400	683	847176	2710	796931	3618
pareto-70	967960	17824	968276	9987	834307	9714	793917	10431
pareto-7	862868	80792	864528	53906	803210	51395	793268	51667
kmer_count	3094561	3094561	3094561	3094561	3094561	3094561	3094561	3094561
matchtigs	938652	35720	939264	33126	871625	35827	860232	32558
