method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	4925808	518652	4857544	490199	4045503	799438	3676615	770275
greedy-maxone	3244224	983716	3077396	591451	2271820	583481	2100370	591551
greedy-minrun	3244224	964920	3077396	570032	2271820	565479	2100370	575889
pareto-1	3236580	973992	3066948	578272	2259680	571001	2094125	582101
pareto-250	3413296	238668	3046176	121229	2297373	122577	2127308	131033
pareto-30	3237788	549388	3025468	282975	2240942	290974	2081279	295899
pareto-400	3460972	211160	3067280	107720	2322032	107937	2154674	117020
pareto-70	3256120	427300	3005224	216954	2240664	221537	2076473	226912
pareto-7	3242692	697072	3056756	373848	2259182	383048	2091930	392479
kmer_count	30369141	30369141	30369141	30369141	30369141	30369141	30369141	30369141
matchtigs	3570392	186772	3298972	174283	2534439	251805	2352018	268729
