method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
essCompress	147289356	0	147289356	0	147289356	0	147289356	0
eulertigs	179637148	8839324	151063292	8862359	175438968	16269689	124781660	12076061
greedy-maxone	129128196	12520740	110395060	7793814	135882030	7428733	86837726	7395802
greedy-minrun	129128196	12461828	110395060	7733735	135882030	7343394	86837726	7358794
pareto-1	128793872	12439532	110015352	7667705	135741579	7300701	86274436	7314685
pareto-128	131905000	5871224	105243164	3250806	149555864	3069310	78986202	3139417
pareto-256	140273328	4634632	107390692	2548223	159604853	2903344	79453114	2397485
pareto-32	126088492	8869268	105390352	5040814	138275921	4856416	81527546	4863645
pareto-512	153579680	3489204	110778872	1896323	173225243	1789258	81339042	1785573
pareto-8	127500692	11138012	108359564	6627635	135921501	6363985	84744948	6357658
kmer_count	550950142	550950142	550950142	550950142	550950142	550950142	550950142	550950142
matchtigs	136372796	4075300	113165508	3901285	147653539	6279833	90103215	5823570
