method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
essCompress	2625029	0	2625029	0	2625029	0	2625029	0
eulertigs	2720576	134280	2723928	132141	2535030	230730	2178728	225656
greedy-maxone	2155248	207292	2158276	125894	2015966	128998	1648187	127323
greedy-minrun	2155248	207020	2158276	125614	2015966	128846	1648187	127103
kmer_count	9621316	9621316	9621316	9621316	9621316	9621316	9621316	9621316
matchtigs	2228940	77512	2230388	72233	2144757	112250	1693497	104156
pareto-1	2151164	205672	2152944	123275	2010570	126596	1638492	124693
pareto-128	2136116	81936	2129172	45017	2006733	45529	1454820	45791
pareto-256	2174512	55028	2167152	30116	2052784	30579	1426818	31666
pareto-32	2112636	147884	2114332	82426	1982789	85404	1543314	84119
pareto-512	2235092	36096	2223936	19395	2114007	20876	1418119	22480
pareto-8	2135232	188864	2138052	109911	1999254	113770	1611357	111842
