method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
essCompress	3617342	0	3617342	0	3617342	0	3617342	0
eulertigs	3385196	345748	3387268	324277	3049402	553271	2737782	468698
greedy-maxone	2247004	595928	2248064	455157	1848846	421793	1659912	417888
greedy-minrun	2247004	577236	2248064	434066	1848846	405326	1659912	401062
kmer_count	12675558	12675558	12675558	12675558	12675558	12675558	12675558	12675558
matchtigs	2451720	140840	2452488	131538	2056021	203807	1850838	186540
pareto-1	2238064	576468	2238604	429915	1839916	402780	1653885	398934
pareto-128	2285852	130536	2264492	73698	1857343	73684	1667622	74142
pareto-256	2307756	117048	2279064	64050	1881966	64325	1689138	64248
pareto-32	2205512	276632	2209668	164215	1813904	162691	1631298	161138
pareto-512	2307832	115860	2279164	63066	1882891	62545	1689731	63280
pareto-8	2224136	383408	2225652	242163	1832568	239449	1645368	235649
